Rigi-Seebodenalp
Messstation Nr.:  13
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 23 40    286.08      3.71
2022 01 02 23 50    277.88      5.53
2022 01 02 24 00    272.68      4.58
2022 01 03 00 10    266.28      3.89
2022 01 03 00 20    270.10      3.76
2022 01 03 00 30    271.42      3.55
2022 01 03 00 40    271.98      3.34
2022 01 03 00 50    257.69      4.84
2022 01 03 01 00    234.80      3.72
2022 01 03 01 10    249.94      1.84
2022 01 03 01 20    299.84      2.21
2022 01 03 01 30    280.66      4.42
2022 01 03 01 40    308.63      2.84
2022 01 03 01 50    281.05      4.42
2022 01 03 02 00    310.28      3.01
2022 01 03 02 10    288.99      2.19
2022 01 03 02 20    285.60      2.65
2022 01 03 02 30    279.17      2.11
2022 01 03 02 40    272.00      2.80
2022 01 03 02 50    252.78      3.17
2022 01 03 03 00    270.17      2.78
2022 01 03 03 10    283.08      3.28
2022 01 03 03 20    280.54      3.35
2022 01 03 03 30    282.65      3.83
2022 01 03 03 40    278.21      2.58
2022 01 03 03 50    285.60      1.82
2022 01 03 04 00    274.70      2.16
2022 01 03 04 10    266.58      2.82
2022 01 03 04 20    282.76      3.47
2022 01 03 04 30    272.50      4.38
2022 01 03 04 40    278.46      4.56
2022 01 03 04 50    280.98      4.24
2022 01 03 05 00    275.97      4.28
2022 01 03 05 10    273.02      4.23
2022 01 03 05 20    269.73      3.81
2022 01 03 05 30    264.91      5.03
2022 01 03 05 40    272.85      5.08
2022 01 03 05 50    276.48      4.84
2022 01 03 06 00    276.91      5.01
2022 01 03 06 10    275.45      5.94
2022 01 03 06 20    275.21      5.91
2022 01 03 06 30    271.70      6.68
2022 01 03 06 40    271.92      6.88
2022 01 03 06 50    275.22      6.09
2022 01 03 07 00    272.96      5.94
2022 01 03 07 10    257.97      4.95
2022 01 03 07 20    247.96      4.08
2022 01 03 07 30    254.65      3.72
2022 01 03 07 40    255.04      2.62
2022 01 03 07 50    266.41      2.74
2022 01 03 08 00    265.32      2.89
2022 01 03 08 10    277.67      4.07
