Beromünster
Messstation Nr.:  20
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 21 20    267.64      8.15
2022 01 02 21 30    265.01      8.42
2022 01 02 21 40    266.82      7.88
2022 01 02 21 50    263.60      9.06
2022 01 02 22 00    260.27      8.89
2022 01 02 22 10    262.88      8.52
2022 01 02 22 20    264.43      8.31
2022 01 02 22 30    265.68      8.35
2022 01 02 22 40    267.78      7.72
2022 01 02 22 50    262.98      8.86
2022 01 02 23 00    262.77      9.08
2022 01 02 23 10    261.09      8.90
2022 01 02 23 20    256.57      9.08
2022 01 02 23 30    252.46      8.10
2022 01 02 23 40    256.81      8.24
2022 01 02 23 50    258.89      8.02
2022 01 02 24 00    255.82      8.43
2022 01 03 00 10    261.02      8.01
2022 01 03 00 20    266.23      7.13
2022 01 03 00 30    266.13      7.16
2022 01 03 00 40    264.15      8.21
2022 01 03 00 50    265.83      9.65
2022 01 03 01 00    267.82      8.35
2022 01 03 01 10    268.96      9.17
2022 01 03 01 20    268.17      9.46
2022 01 03 01 30    271.80      7.69
2022 01 03 01 40    268.74      8.75
2022 01 03 01 50    263.44      9.56
2022 01 03 02 00    262.14      9.62
2022 01 03 02 10    263.27      8.62
2022 01 03 02 20    265.43      8.48
2022 01 03 02 30    269.91      7.74
2022 01 03 02 40    273.40      7.36
2022 01 03 02 50    264.70      9.42
2022 01 03 03 00    265.14      9.01
2022 01 03 03 10    267.86      9.41
2022 01 03 03 20    268.00      9.90
2022 01 03 03 30    263.81     10.68
2022 01 03 03 40    266.81      9.73
2022 01 03 03 50    266.24      9.37
2022 01 03 04 00    264.65      9.09
2022 01 03 04 10    264.62      8.34
2022 01 03 04 20    261.69      8.47
2022 01 03 04 30    262.30      8.44
2022 01 03 04 40    259.55      7.48
2022 01 03 04 50    255.65      8.38
2022 01 03 05 00    249.45      7.59
2022 01 03 05 10    247.27      7.25
2022 01 03 05 20    248.16      7.56
2022 01 03 05 30    248.47      8.28
2022 01 03 05 40    254.50      8.50
2022 01 03 05 50    254.45      8.53
2022 01 03 06 00    254.65      8.80
2022 01 03 06 10    252.72      8.40
2022 01 03 06 20    252.64      8.64
2022 01 03 06 30    253.64      7.95
2022 01 03 06 40    253.01      7.37
2022 01 03 06 50    247.98      6.99
2022 01 03 07 00    246.07      6.92
2022 01 03 07 10    249.64      6.74
2022 01 03 07 20    251.30      6.72
2022 01 03 07 30    252.54      6.62
2022 01 03 07 40    254.43      6.85
2022 01 03 07 50    253.12      7.26
2022 01 03 08 00    258.55      6.96
2022 01 03 08 10    259.65      6.91
2022 01 03 08 20    260.93      6.67
2022 01 03 08 30    258.80      7.39
2022 01 03 08 40    257.44      7.65
2022 01 03 08 50    253.49      7.75
2022 01 03 09 00    251.42      7.94
2022 01 03 09 10    248.06      8.05
2022 01 03 09 20    246.71      8.43
2022 01 03 09 30    248.20      8.22
2022 01 03 09 40    247.14      8.23
2022 01 03 09 50    244.54      8.13
2022 01 03 10 00    245.10      9.00
2022 01 03 10 10    252.34      8.42
2022 01 03 10 20    259.89      7.35
2022 01 03 10 30    263.30      6.41
2022 01 03 10 40    257.32      6.09
2022 01 03 10 50    259.06      6.18
2022 01 03 11 00    261.97      6.13
2022 01 03 11 10    260.88      6.33
2022 01 03 11 20    249.22      7.29
2022 01 03 11 30    252.85      7.18
2022 01 03 11 40    239.34      8.97
2022 01 03 11 50    242.83      9.43
2022 01 03 12 00    246.91      8.18
2022 01 03 12 10    245.82      8.79
2022 01 03 12 20    234.93      8.06
2022 01 03 12 30    226.65      6.43
2022 01 03 12 40    248.40      5.64
2022 01 03 12 50    256.62      6.19
2022 01 03 13 00    256.49      6.68
2022 01 03 13 10    253.53      8.06
2022 01 03 13 20    253.43      7.33
2022 01 03 13 30    253.34      8.01
