Härkingen-A1
Messstation Nr.:   6
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 09 50    117.12      0.68
2022 01 02 10 00    166.26      0.96
2022 01 02 10 10    180.84      1.18
2022 01 02 10 20    174.66      1.44
2022 01 02 10 30    186.22      0.78
2022 01 02 10 40    174.40      0.98
2022 01 02 10 50    218.69      1.70
2022 01 02 11 00    228.21      1.49
2022 01 02 11 10    244.11      1.71
2022 01 02 11 20    238.89      1.97
2022 01 02 11 30    256.58      3.24
2022 01 02 11 40    250.22      3.59
2022 01 02 11 50    253.23      4.01
2022 01 02 12 00    249.17      3.95
2022 01 02 12 10    258.40      3.65
2022 01 02 12 20    255.15      3.73
2022 01 02 12 30    233.94      3.71
2022 01 02 12 40    236.26      3.37
2022 01 02 12 50    240.97      2.64
2022 01 02 13 00    245.40      2.23
2022 01 02 13 10    236.21      1.89
2022 01 02 13 20    248.39      2.06
2022 01 02 13 30    247.68      3.10
2022 01 02 13 40    248.63      2.44
2022 01 02 13 50    235.68      1.86
2022 01 02 14 00    227.27      1.60
2022 01 02 14 10    238.19      1.23
2022 01 02 14 20    221.34      0.87
2022 01 02 14 30    230.27      1.33
2022 01 02 14 40    239.98      1.26
2022 01 02 14 50    247.03      1.54
2022 01 02 15 00    255.08      1.50
2022 01 02 15 10    248.62      2.45
2022 01 02 15 20    251.49      1.67
2022 01 02 15 30    240.66      1.69
2022 01 02 15 40    234.47      1.96
2022 01 02 15 50    240.75      1.68
2022 01 02 16 00    232.60      1.77
2022 01 02 16 10    221.67      1.35
2022 01 02 16 20    216.78      1.36
2022 01 02 16 30    215.64      1.46
2022 01 02 16 40    227.03      2.03
2022 01 02 16 50    246.24      2.38
2022 01 02 17 00    227.41      2.26
2022 01 02 17 10    234.93      1.11
2022 01 02 17 20    252.70      0.76
2022 01 02 17 30    254.73      1.34
2022 01 02 17 40    245.90      1.93
2022 01 02 17 50    229.86      1.69
2022 01 02 18 00    232.58      1.73
2022 01 02 18 10    243.30      1.22
2022 01 02 18 20    221.69      1.40
2022 01 02 18 30    185.45      1.04
2022 01 02 18 40    226.53      1.09
2022 01 02 18 50    220.53      1.21
2022 01 02 19 00    228.34      0.77
2022 01 02 19 10    162.34      0.60
2022 01 02 19 20     90.06      0.46
2022 01 02 19 30    119.11      0.89
2022 01 02 19 40    126.63      0.76
2022 01 02 19 50    144.00      0.96
2022 01 02 20 00    154.28      0.61
2022 01 02 20 10    336.55      0.46
2022 01 02 20 20    283.81      1.09
2022 01 02 20 30    277.84      1.51
2022 01 02 20 40    289.93      1.08
2022 01 02 20 50    282.17      1.12
2022 01 02 21 00    230.60      1.05
2022 01 02 21 10    234.66      1.21
2022 01 02 21 20    180.09      1.63
2022 01 02 21 30    200.30      1.47
2022 01 02 21 40    193.06      1.60
2022 01 02 21 50    207.13      1.19
2022 01 02 22 00    200.61      1.67
2022 01 02 22 10    315.22      1.80
2022 01 02 22 20     15.60      1.28
2022 01 02 22 30     73.95      0.68
2022 01 02 22 40    339.03      1.01
2022 01 02 22 50     64.09      1.66
2022 01 02 23 00     70.05      1.42
2022 01 02 23 10     59.93      1.20
2022 01 02 23 20     53.80      0.92
2022 01 02 23 30     35.68      1.57
2022 01 02 23 40     54.02      0.91
2022 01 02 23 50     85.91      0.72
2022 01 02 24 00     45.77      0.85
2022 01 03 00 10     77.88      0.89
2022 01 03 00 20     96.53      1.08
2022 01 03 00 30      1.13      1.55
2022 01 03 00 40      8.76      1.48
2022 01 03 00 50    116.31      1.28
2022 01 03 01 00    200.43      2.08
2022 01 03 01 10    223.51      2.73
2022 01 03 01 20    233.98      3.36
2022 01 03 01 30    246.27      3.37
2022 01 03 01 40    225.36      3.08
2022 01 03 01 50    218.08      3.06
2022 01 03 02 00    220.20      3.78
2022 01 03 02 10    221.32      2.74
2022 01 03 02 20    211.92      2.83
2022 01 03 02 30    201.43      2.99
2022 01 03 02 40    229.90      2.50
2022 01 03 02 50    209.98      2.21
2022 01 03 03 00    232.02      3.14
2022 01 03 03 10    210.10      2.72
2022 01 03 03 20    199.98      2.70
2022 01 03 03 30    223.47      2.62
2022 01 03 03 40    215.50      2.45
2022 01 03 03 50    209.59      1.97
2022 01 03 04 00    209.10      1.87
2022 01 03 04 10    197.09      2.25
2022 01 03 04 20    210.17      2.10
2022 01 03 04 30    216.54      1.63
2022 01 03 04 40    211.17      2.61
2022 01 03 04 50    228.65      2.80
2022 01 03 05 00    216.93      2.47
2022 01 03 05 10    227.19      2.77
2022 01 03 05 20    221.04      3.15
2022 01 03 05 30    213.54      2.81
2022 01 03 05 40    226.44      3.18
2022 01 03 05 50    228.81      3.49
2022 01 03 06 00    229.12      3.61
2022 01 03 06 10    240.06      3.10
2022 01 03 06 20    234.27      3.35
2022 01 03 06 30    223.72      3.46
2022 01 03 06 40    229.52      3.28
2022 01 03 06 50    224.19      3.38
2022 01 03 07 00    236.59      3.04
2022 01 03 07 10    235.21      3.44
2022 01 03 07 20    218.83      3.30
2022 01 03 07 30    226.79      2.48
2022 01 03 07 40    233.87      2.41
2022 01 03 07 50    228.62      2.72
2022 01 03 08 00    235.11      2.28
2022 01 03 08 10    229.55      1.96
2022 01 03 08 20    216.14      1.72
2022 01 03 08 30    218.54      1.41
2022 01 03 08 40    189.43      1.37
2022 01 03 08 50    188.67      1.69
2022 01 03 09 00    229.84      1.07
2022 01 03 09 10    188.78      0.96
2022 01 03 09 20    193.27      1.13
2022 01 03 09 30    210.52      1.78
2022 01 03 09 40    224.39      2.01
2022 01 03 09 50    245.99      1.16
2022 01 03 10 00    231.15      1.88
2022 01 03 10 10    222.44      2.15
2022 01 03 10 20    216.27      3.25
2022 01 03 10 30    212.11      3.02
2022 01 03 10 40    211.43      2.44
2022 01 03 10 50    215.41      1.93
2022 01 03 11 00    208.04      1.99
2022 01 03 11 10    203.46      1.84
2022 01 03 11 20    210.15      2.54
2022 01 03 11 30    201.76      2.93
2022 01 03 11 40    204.24      2.48
2022 01 03 11 50    193.64      2.12
2022 01 03 12 00    215.95      2.74
2022 01 03 12 10    220.08      3.03
2022 01 03 12 20    226.82      3.32
2022 01 03 12 30    221.62      3.35
2022 01 03 12 40    212.26      3.58
2022 01 03 12 50    214.35      4.20
2022 01 03 13 00    214.37      5.04
2022 01 03 13 10    212.15      5.12
2022 01 03 13 20    218.43      5.36
2022 01 03 13 30    214.84      4.66
2022 01 03 13 40    219.42      4.51
2022 01 03 13 50    214.11      3.35
2022 01 03 14 00    212.85      2.91
2022 01 03 14 10    219.62      2.98
2022 01 03 14 20    215.16      2.81
2022 01 03 14 30    225.73      2.97
2022 01 03 14 40    237.81      3.34
2022 01 03 14 50    238.20      3.39
2022 01 03 15 00    231.48      3.42
2022 01 03 15 10    228.79      3.94
2022 01 03 15 20    230.40      3.25
2022 01 03 15 30    229.87      3.75
2022 01 03 15 40    232.92      3.62
2022 01 03 15 50    230.89      4.09
2022 01 03 16 00    226.35      3.98
2022 01 03 16 10    232.21      3.59
2022 01 03 16 20    230.56      3.72
2022 01 03 16 30    227.71      3.17
2022 01 03 16 40    227.11      3.67
2022 01 03 16 50    227.60      4.10
2022 01 03 17 00    235.14      3.80
2022 01 03 17 10    236.45      2.91
2022 01 03 17 20    243.49      1.87
2022 01 03 17 30    234.41      2.97
2022 01 03 17 40    232.36      3.15
2022 01 03 17 50    222.64      2.88
2022 01 03 18 00    219.67      3.32
2022 01 03 18 10    216.83      3.58
2022 01 03 18 20    207.95      3.59
2022 01 03 18 30    205.20      3.59
2022 01 03 18 40    208.85      3.32
2022 01 03 18 50    210.80      3.58
2022 01 03 19 00    205.70      3.41
2022 01 03 19 10    203.16      3.37
2022 01 03 19 20    197.17      2.75
2022 01 03 19 30    193.30      2.73
2022 01 03 19 40    189.12      2.65
2022 01 03 19 50    190.61      2.30
2022 01 03 20 00    198.34      3.06
2022 01 03 20 10    187.09      2.36
2022 01 03 20 20    179.13      1.84
2022 01 03 20 30    192.67      1.71
2022 01 03 20 40    214.30      1.32
2022 01 03 20 50    251.83      0.98
2022 01 03 21 00    266.81      1.16
2022 01 03 21 10    258.91      1.73
2022 01 03 21 20    248.86      2.43
2022 01 03 21 30    239.75      2.71
2022 01 03 21 40    216.63      1.70
2022 01 03 21 50    222.48      1.06
2022 01 03 22 00    245.23      1.44
2022 01 03 22 10    217.04      1.56
2022 01 03 22 20    222.50      2.42
2022 01 03 22 30    230.29      1.81
2022 01 03 22 40    215.30      2.34
2022 01 03 22 50    216.15      2.32
2022 01 03 23 00    224.20      2.66
2022 01 03 23 10    234.68      1.61
2022 01 03 23 20    224.04      1.29
2022 01 03 23 30    263.82      1.35
2022 01 03 23 40    232.57      1.10
2022 01 03 23 50    221.48      3.33
2022 01 03 24 00    212.48      2.91
2022 01 04 00 10    191.76      2.47
2022 01 04 00 20    203.98      3.10
2022 01 04 00 30    212.71      3.16
2022 01 04 00 40    212.64      2.80
2022 01 04 00 50    225.75      3.19
2022 01 04 01 00    227.24      2.65
2022 01 04 01 10    227.62      1.99
2022 01 04 01 20    207.98      2.05
2022 01 04 01 30    211.05      2.20
2022 01 04 01 40    224.81      2.10
2022 01 04 01 50    259.29      2.13
2022 01 04 02 00    268.97      2.29
2022 01 04 02 10    246.33      2.07
2022 01 04 02 20    218.73      1.77
2022 01 04 02 30    235.73      1.46
2022 01 04 02 40    256.12      1.93
2022 01 04 02 50    255.50      2.09
2022 01 04 03 00    262.74      2.55
2022 01 04 03 10    274.62      3.14
2022 01 04 03 20    250.01      2.81
2022 01 04 03 30    239.75      4.23
2022 01 04 03 40    230.38      5.31
2022 01 04 03 50    227.06      6.36
2022 01 04 04 00    226.54      7.95
2022 01 04 04 10    222.94      7.15
2022 01 04 04 20    219.43      6.53
2022 01 04 04 30    224.98      7.11
2022 01 04 04 40    228.18      8.13
2022 01 04 04 50    233.42      7.79
2022 01 04 05 00    232.97      8.27
2022 01 04 05 10    228.81      8.38
2022 01 04 05 20    229.92      7.76
2022 01 04 05 30    231.06      7.96
2022 01 04 05 40    227.68      7.84
2022 01 04 05 50    230.41      8.22
2022 01 04 06 00    229.15      8.85
2022 01 04 06 10    229.06      8.52
2022 01 04 06 20    227.56      8.94
2022 01 04 06 30    222.16      7.61
2022 01 04 06 40    225.55      6.71
2022 01 04 06 50    225.45      7.04
2022 01 04 07 00    223.97      7.57
2022 01 04 07 10    222.85      6.45
2022 01 04 07 20    228.45      5.95
2022 01 04 07 30    228.73      6.54
2022 01 04 07 40    225.45      6.84
2022 01 04 07 50    222.19      5.33
2022 01 04 08 00    224.02      5.89
2022 01 04 08 10    219.75      6.13
2022 01 04 08 20    210.93      5.98
2022 01 04 08 30    207.37      5.51
2022 01 04 08 40    214.26      5.53
2022 01 04 08 50    215.71      5.85
2022 01 04 09 00    214.05      5.48
2022 01 04 09 10    214.12      5.20
2022 01 04 09 20    214.43      6.31
2022 01 04 09 30    220.31      6.88
2022 01 04 09 40    223.57      7.24
2022 01 04 09 50    225.41      7.19
2022 01 04 10 00    223.56      7.96
2022 01 04 10 10    223.25      8.43
2022 01 04 10 20    220.55      8.24
2022 01 04 10 30    224.70      8.72
2022 01 04 10 40    224.48      8.36
2022 01 04 10 50    222.10      7.93
2022 01 04 11 00    222.59      8.23
2022 01 04 11 10    221.85      7.90
2022 01 04 11 20    225.24      9.45
2022 01 04 11 30    224.49      8.72
2022 01 04 11 40    226.66      9.06
2022 01 04 11 50    230.37      9.56
2022 01 04 12 00    230.42      9.09
2022 01 04 12 10    230.97      9.06
2022 01 04 12 20    232.00     10.04
2022 01 04 12 30    234.13      9.58
2022 01 04 12 40    232.50     10.40
2022 01 04 12 50    231.26     10.30
2022 01 04 13 00    231.96      9.67
2022 01 04 13 10    232.61     10.15
2022 01 04 13 20    233.89     10.74
2022 01 04 13 30    227.07     10.11
2022 01 04 13 40    229.16      9.57
2022 01 04 13 50    225.67      9.17
2022 01 04 14 00    225.44      8.18
2022 01 04 14 10    224.91      8.91
2022 01 04 14 20    227.75      8.77
2022 01 04 14 30    230.12      9.63
2022 01 04 14 40    233.43      9.02
2022 01 04 14 50    233.26     10.14
2022 01 04 15 00    231.27      9.60
2022 01 04 15 10    230.55      9.47
2022 01 04 15 20    232.56     10.12
2022 01 04 15 30    231.70      9.81
2022 01 04 15 40    226.93      7.60
2022 01 04 15 50    226.50      7.34
2022 01 04 16 00    229.66      7.27
2022 01 04 16 10    231.02      7.60
2022 01 04 16 20    231.13      7.57
2022 01 04 16 30    228.46      6.84
2022 01 04 16 40    229.09      7.71
2022 01 04 16 50    227.11      7.99
2022 01 04 17 00    228.17      7.13
2022 01 04 17 10    226.68      7.17
2022 01 04 17 20    224.28      6.69
2022 01 04 17 30    221.29      5.95
2022 01 04 17 40    225.19      5.22
2022 01 04 17 50    230.70      6.02
2022 01 04 18 00    227.79      7.14
2022 01 04 18 10    224.47      7.21
2022 01 04 18 20    227.68      8.30
2022 01 04 18 30    229.02      7.38
2022 01 04 18 40    227.84      8.69
2022 01 04 18 50    229.28      7.39
2022 01 04 19 00    227.51      7.34
2022 01 04 19 10    224.62      6.88
2022 01 04 19 20    227.69      7.97
2022 01 04 19 30    227.53      7.70
2022 01 04 19 40    230.00      6.60
2022 01 04 19 50    254.89      3.38
2022 01 04 20 00    283.82      4.73
2022 01 04 20 10    286.23      6.33
2022 01 04 20 20    293.34      6.94
2022 01 04 20 30    296.80      7.60
2022 01 04 20 40    293.21      8.16
2022 01 04 20 50    295.25      8.29
2022 01 04 21 00    297.74      7.63
2022 01 04 21 10    303.69     10.08
2022 01 04 21 20    304.22      8.67
2022 01 04 21 30    306.88      7.80
2022 01 04 21 40    303.78      7.27
2022 01 04 21 50    306.66      8.78
2022 01 04 22 00    304.19      7.78
2022 01 04 22 10    311.22      8.40
2022 01 04 22 20    296.60      7.84
2022 01 04 22 30    296.08      7.77
2022 01 04 22 40    294.49      8.63
2022 01 04 22 50    296.55      8.48
2022 01 04 23 00    295.04      7.57
2022 01 04 23 10    303.32      9.79
2022 01 04 23 20    283.58      8.89
2022 01 04 23 30    287.30      7.47
2022 01 04 23 40    298.17      6.77
2022 01 04 23 50    294.50      6.84
2022 01 04 24 00    291.81      4.87
2022 01 05 00 10    294.14      4.45
2022 01 05 00 20    279.79      2.61
2022 01 05 00 30    275.93      4.15
2022 01 05 00 40    267.78      5.34
2022 01 05 00 50    260.35      4.24
2022 01 05 01 00    248.26      2.36
2022 01 05 01 10    161.62      0.85
2022 01 05 01 20    136.47      2.01
2022 01 05 01 30    221.17      1.68
2022 01 05 01 40    259.28      2.33
2022 01 05 01 50    265.00      3.62
2022 01 05 02 00    167.59      1.64
2022 01 05 02 10    150.35      1.37
2022 01 05 02 20    193.78      1.04
2022 01 05 02 30    213.69      1.66
2022 01 05 02 40    215.91      2.38
2022 01 05 02 50    185.00      2.26
2022 01 05 03 00    205.02      2.13
2022 01 05 03 10    213.71      3.01
2022 01 05 03 20    220.00      3.69
2022 01 05 03 30    213.40      3.35
2022 01 05 03 40    219.62      2.79
2022 01 05 03 50    234.35      4.02
2022 01 05 04 00    239.63      3.98
2022 01 05 04 10    239.73      4.08
2022 01 05 04 20    231.35      3.36
2022 01 05 04 30    229.27      4.40
2022 01 05 04 40    229.15      4.36
2022 01 05 04 50    226.35      4.11
2022 01 05 05 00    221.96      4.31
2022 01 05 05 10    223.30      4.11
2022 01 05 05 20    223.61      4.07
2022 01 05 05 30    218.12      3.66
2022 01 05 05 40    213.56      3.39
2022 01 05 05 50    211.18      2.76
2022 01 05 06 00    220.12      3.07
2022 01 05 06 10    219.85      2.53
2022 01 05 06 20    234.98      1.90
2022 01 05 06 30    212.94      1.65
2022 01 05 06 40    215.47      1.69
2022 01 05 06 50    229.50      1.49
2022 01 05 07 00    294.59      2.89
2022 01 05 07 10    224.19      3.10
2022 01 05 07 20    256.51      3.38
2022 01 05 07 30    255.48      3.60
2022 01 05 07 40    264.58      4.11
2022 01 05 07 50    244.86      3.79
2022 01 05 08 00    243.16      5.06
2022 01 05 08 10    255.22      4.29
2022 01 05 08 20    278.93      6.15
2022 01 05 08 30    281.40      7.41
2022 01 05 08 40    282.07      9.02
2022 01 05 08 50    286.31      8.58
2022 01 05 09 00    288.19      8.01
2022 01 05 09 10    279.75      6.93
2022 01 05 09 20    282.15      6.55
2022 01 05 09 30    278.33      6.79
2022 01 05 09 40    278.80      8.45
2022 01 05 09 50    276.56      7.06
2022 01 05 10 00    275.24      6.07
2022 01 05 10 10    261.35      5.88
2022 01 05 10 20    268.82      6.32
2022 01 05 10 30    271.73      6.05
2022 01 05 10 40    276.26      6.93
2022 01 05 10 50    268.78      6.06
2022 01 05 11 00    266.97      5.29
2022 01 05 11 10    260.52      4.61
2022 01 05 11 20    277.59      5.73
2022 01 05 11 30    272.60      4.95
2022 01 05 11 40    271.42      5.34
2022 01 05 11 50    258.62      4.39
2022 01 05 12 00    243.60      4.53
2022 01 05 12 10    258.51      3.63
2022 01 05 12 20    255.98      5.15
2022 01 05 12 30    270.95      4.80
2022 01 05 12 40    280.48      3.08
2022 01 05 12 50    282.26      5.36
2022 01 05 13 00    284.78      3.99
2022 01 05 13 10    279.34      6.26
2022 01 05 13 20    278.83      4.32
2022 01 05 13 30    273.16      3.97
2022 01 05 13 40    284.33      5.01
2022 01 05 13 50    252.47      4.61
2022 01 05 14 00    269.74      4.63
2022 01 05 14 10  -9999.00  -9999.00
2022 01 05 14 20    263.31      4.63
2022 01 05 14 30    275.75      3.69
2022 01 05 14 40    281.18      2.61
